30.5778384069  25.9563173737
39.2861908928  24.9438768702
50.902517262  24.0939487849
63.7712963924  23.908898148
80.3766749208  23.718509512
91.5882030219  23.86915971
114.00779941  23.8371317151
125.631045408  23.6538604113
151.365143854  22.9504307469
171.283294534  21.9219762459
187.46830563  21.2321881348
204.483672148  20.5412138017
221.085590862  20.017496775
239.341300791  18.8247505227
262.162235633  17.4588158539
276.691725607  17.2713927729
289.560504737  17.0863421361
300.353395313  16.9042570543
305.752435462  17.0632108065
307.41660612  17.3941667532
